Index,Tag,X,Y,Delay,Period
0,Player,6.5,3,0,0
1,GroundTop,6,2,0,0
2,GroundTop,6.5,2,0,0
3,GroundTop,7,2,0,0
4,GroundTop,6.5,0,0,0
5,GroundTop,0,3,0,0
6,Ground,0,2.5,0,0
7,Ground,0,2,0,0
8,Ground,0,1.5,0,0
9,Ground,0,1,0,0
10,Ground,0,0.5,0,0
11,Ground,0,0,0,0
12,Ground,0,-0.5,0,0
13,GroundTop,7.5,3,0,0
14,Ground,7.5,2.5,0,0
15,Ground,7.5,2,0,0
16,CrackableGround,3,2,0,0
17,CrackableGround,4.5,2,0,0
18,CrackableGround,4.5,2,0,0
19,CrackableGround,-3.5,-2,0,0
20,CrackableGround,-3.5,-0.5,0,0
21,CrackableGround,-3.5,1,0,0
22,Thorn,0.5,-0.5,0,0
23,Thorn,1,-0.5,0,0
24,Thorn,1.5,-0.5,0,0
25,Thorn,2,-0.5,0,0
26,Thorn,2.5,-0.5,0,0
27,Thorn,3,-0.5,0,0
28,Thorn,3.5,-0.5,0,0
29,Thorn,4,-0.5,0,0
30,Thorn,4.5,-0.5,0,0
31,Thorn,5,-0.5,0,0
32,Thorn,5.5,-0.5,0,0
33,Thorn,6,-0.5,0,0
34,Thorn,7,0.5,0,0
35,Jump,-2.5,-3.5,0,0
36,Jump,-5,-2,0,0
37,Jump,-2.5,-3.5,0,0
38,Jump,-2,-0.5,0,0
39,LeftMover,7.5,-2,0,0
40,DashItem,3,2.5,0,0
41,DashItem,-3.5,1.5,0,0
42,Star,-7,1,0,0
43,Star,-6.5,1,0,0
44,Star,-6,1,0,0
45,Star,-7,0.5,0,0
46,Star,-6.5,0.5,0,0
47,Star,-6,0.5,0,0
48,Star,-8.5,-3,0,0
49,Star,-8,-3,0,0
